Status (new / used),# of Search results,1st link part,Keywords parameter,Job position parameter,2nd link part,Link formula,Results
used,2,https://www.linkedin.com/vsearch/p?,keywords=financial%20ombudsman%20service,title=CEO,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=financial%20ombudsman%20service&title=CEO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=financial%20ombudsman%20service&title=CEO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=financial%20ombudsman%20service,title=Founder,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=financial%20services&title=Founder&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=financial%20services&title=Founder&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=financial%20ombudsman%20service,title=co-founder,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=financial%20authority&title=co-founder&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=financial%20authority&title=co-founder&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=financial%20ombudsman%20service,title=business%20owner,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=compensation%20scheme&title=business%20owner&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=compensation%20scheme&title=business%20owner&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=financial%20ombudsman%20service,title=Director,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=financial%20compensation%20scheme&title=Director&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=financial%20compensation%20scheme&title=Director&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=financial%20ombudsman%20service,title=VP,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=financial%20qualifications&title=VP&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=financial%20qualifications&title=VP&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,27,https://www.linkedin.com/vsearch/p?,keywords=financial%20ombudsman%20service,title=Managing%20director,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=prepaid%20financial%20services&title=Managing%20director&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=prepaid%20financial%20services&title=Managing%20director&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=financial%20ombudsman%20service,title=CIO,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=financial%20advisor&title=CIO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=financial%20advisor&title=CIO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=financial%20ombudsman%20service,title=CTO,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=independent%20financial%20advisor&title=CTO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=independent%20financial%20advisor&title=CTO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=financial%20ombudsman%20service,title=Chairman,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=trainee%20financial&title=Chairman&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=trainee%20financial&title=Chairman&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
