Status (new / used),# of Search results,1st link part,Keywords parameter,Job position parameter,2nd link part,Link formula,Results
used,1600,https://www.linkedin.com/vsearch/p?,keywords=real%20estate,title=CEO,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=real%20estate&title=CEO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=real%20estate&title=CEO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=real%20estate,title=Founder,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=real%20estate&title=Founder&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=real%20estate&title=Founder&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20recruitment,title=Founder,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20supply%20chain&title=Founder&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20supply%20chain&title=Founder&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&rsid=4120029691452779969631&orig=ADVS&openFacets=N,G,CC&page_num=18&pt=people&f_N=S
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20recruitment,title=co-founder,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20training&title=co-founder&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20training&title=co-founder&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20recruitment,title=business%20owner,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=evolve%20automotive&title=business%20owner&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=evolve%20automotive&title=business%20owner&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20recruitment,title=Director,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=paragon%20automotive&title=Director&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=paragon%20automotive&title=Director&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20recruitment,title=VP,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=ring%20automotive&title=VP&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=ring%20automotive&title=VP&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20recruitment,title=Managing%20director,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=unipart%20automotive&title=Managing%20director&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=unipart%20automotive&title=Managing%20director&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20recruitment,title=CIO,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20recruitment&title=CIO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20recruitment&title=CIO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20recruitment,title=CTO,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20recruitment&title=CTO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20recruitment&title=CTO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
